gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	diff_expr	gene_name	cluster
ENSG00000000419	95.3678043714496	-0.147965853173624	0.20375267402602	-0.72620324558159	0.467714182605367	0.921057430343557	non-sig		
ENSG00000000457	27.6346213013132	0.283834948770619	0.292835767513607	0.969263253531452	0.332413858531971	0.866305949411685	non-sig		
ENSG00000000460	5.73869336515451	2.29158144979365	1.01594587502106	2.25561371539221	0.0240948335078458	0.427186431866169	non-sig		
ENSG00000000938	410.840976561087	-0.206915273422016	0.658248306369044	-0.314342279987592	0.753261089632312	0.972437845061166	non-sig		
ENSG00000000971	4.35830375996893	-0.556055209799244	0.981728888586333	-0.566404041140065	0.571119148252239	0.943270899561915	non-sig		
ENSG00000001036	8.0312096897462	0.727497184954047	0.960579467402137	0.757352420744059	0.448838753054401	0.917726864930322	non-sig		
ENSG00000001084	8.68995501527967	-0.760316050435201	0.818072102424555	-0.929399802513519	0.352681930125156	0.879835993292464	non-sig		
ENSG00000001167	79.914852358163	0.00954543430779712	0.361186718848942	0.0264279770258919	0.978915979499764	0.998094522913216	non-sig		
ENSG00000001460	37.3209529857199	-0.356534620644262	0.309740136882626	-1.1510765903076	0.249700727758071	0.817977408309847	non-sig		
ENSG00000001461	322.114377949355	-0.471535575798791	0.247758828692854	-1.90320392732948	0.0570139409075722	0.557404436369321	non-sig		
ENSG00000001561	11.0290324493244	1.68279553314502	1.14298816384654	1.4722773046764	0.140946009366291	0.716604539633801	non-sig		
ENSG00000001617	28.10540410823	0.581237450216405	0.565770198632522	1.02733839926753	0.304261146938695	0.851419390601356	non-sig		
ENSG00000001626	9.75445665822113	0.631642824201227	0.695981012286362	0.907557552649636	0.36411202935146	0.884102453877141	non-sig		
ENSG00000001629	26.9508432903423	-0.608119333688627	0.501524634339293	-1.21254130316004	0.225305242045933	0.800158544145414	non-sig		
ENSG00000001630	2.08688394824188	2.24765285629115	0.986020069920033	2.27952039198699	0.0226361491871918	0.418881609584601	non-sig		
ENSG00000001631	9.05289808669698	0.0429963200622603	0.775162847164447	0.0554674675386484	0.955766047177318	0.996974526923801	non-sig		
ENSG00000002016	6.09108173771482	0.555559821664301	0.528042585507128	1.05211177452808	0.292748270618249	0.84346137834741	non-sig		
ENSG00000002079	2.41007126405369	-0.394956710651398	1.57448255074227	-0.25084857908727	0.801931181361329	0.979100064944484	non-sig		
ENSG00000002330	137.921045318575	0.17557644055373	0.20064191129007	0.875073604636358	0.381533857976239	0.892086329417348	non-sig		
ENSG00000002549	94.9967721921635	1.29172903138727	0.536584788540254	2.40731578489458	0.0160702674097298	0.380460641362314	non-sig		
ENSG00000002587	536.192268338048	0.047165597168455	0.405303477187131	0.116371064703889	0.907358466585205	0.993403350861041	non-sig		
ENSG00000002726	3.20020514132609	2.15331527762546	1.36138731849421	1.58170657855633	0.113716570224378	0.677727075007881	non-sig		
ENSG00000002746	3.06423432143777	0.593049395046608	1.45515871586504	0.407549629178465	0.683604351146077	0.968082829051212	non-sig		
