gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	diff_expr	gene_name	cluster
ENSG00000000419	129.465366751157	0.587942087330999	0.212972308077867	2.76065039928119	0.00576863902044969	0.0445754370582273	upreg		
ENSG00000000457	34.4198949373545	-0.495837497271566	0.343386717972355	-1.44396236464651	0.148749562180101	0.32710107545986	non-sig		
ENSG00000000460	7.28604004581385	-1.03207990176763	0.711785727474536	-1.44998678946474	0.147062203159409	0.32513968682709	non-sig		
ENSG00000000938	905.196057879314	0.841083865229472	0.77365502345616	1.08715621269036	0.276967778553136	0.47362240722772	non-sig		
ENSG00000000971	154.286893975199	0.186240351416021	0.390154959312672	0.477349696500375	0.633113128245242	0.774031335794182	non-sig		
ENSG00000001036	63.4546899499373	0.861201562865172	0.391383958461633	2.20040076821287	0.0277784733807863	0.123419653191607	non-sig		
ENSG00000001084	126.34433031524	-0.556497620649103	0.312583898433503	-1.78031441618702	0.0750245191394972	0.22143731728902	non-sig		
ENSG00000001167	83.9233043906483	-0.00662545043355649	0.370393057622608	-0.0178876204540182	0.985728504882127	0.992994234690531	non-sig		
ENSG00000001460	32.9255567266448	0.574564187446979	0.438919515923144	1.30904224260465	0.19052004200547	0.37675887749258	non-sig		
ENSG00000001461	277.427831686194	-0.542363831776327	0.324983278641436	-1.66889765542286	0.0951376643490712	0.253344501355877	non-sig		
ENSG00000001561	172.665899933711	-0.970518862721622	0.412025605084232	-2.3554819184677	0.0184986972995579	0.0962652861577452	non-sig		
ENSG00000001617	99.0816250749999	-0.896065937521837	0.335581400681044	-2.67018951498301	0.00758084460665688	0.0534661375742266	non-sig		
ENSG00000001626	4.00831706597115	-2.09639791409903	0.837634328631712	-2.50276026476079	0.0123228983797993	0.0736953980940196	non-sig		
ENSG00000001629	45.82933066399	-0.0709905871194583	0.278420456044548	-0.254976190068806	0.798741489137724	0.885404672706888	non-sig		
ENSG00000001630	1.80563561444282	1.75711947816191	0.85047388176568	2.06604754811979	0.0388239901656562	0.150492681172095	non-sig		
ENSG00000001631	22.396048012972	0.327564953054392	0.491139886120961	0.666948383364892	0.504805104322272	0.67858784239351	non-sig		
ENSG00000002016	13.4743985137281	-0.322500092774109	0.447921695155017	-0.719992124209339	0.471529844716416	0.65172953370717	non-sig		
ENSG00000002079	5.5912150454217	-2.19798061446044	0.950465047682533	-2.31253176518132	0.0207483968925598	0.102902133305305	non-sig		
ENSG00000002330	129.700852705141	0.832558834749185	0.245627043569107	3.3895243074688	0.000700140013353088	0.0103047406332568	upreg		
ENSG00000002549	420.883248665714	0.745291199345614	0.350118322715804	2.12868379342311	0.0332804305790317	0.137637390835636	non-sig		
ENSG00000002587	438.519445600157	0.238598706290662	0.334499240079567	0.713301190860426	0.475659400747142	0.654743797460614	non-sig		
ENSG00000002726	38.7434108874996	0.601993075815896	0.439504897942565	1.36970731983643	0.170778282823696	0.353290425062944	non-sig		
ENSG00000002745	0.852983255957726	-1.82795148862571	1.28935024491212	-1.41773074914202	0.156269389089915	0.336294991092056	non-sig		
ENSG00000002746	4.48139063902959	-3.08777235142558	0.992462288240737	-3.11122386010157	0.00186313638452858	0.0204724104319985	downreg		
ENSG00000002822	86.5235331356875	0.0909239789757209	0.361905531583082	0.251236776011664	0.801631053023344	0.887081999406952	non-sig		
ENSG00000002834	394.658284107728	-0.213854641975592	0.189244824979314	-1.13004221911467	0.258458434989455	0.453932358550412	non-sig		
ENSG00000002919	105.242414510433	-0.489483781053369	0.313163517764616	-1.56302938652414	0.118045682972033	0.287093130807349	non-sig		
ENSG00000002933	160.272792602628	1.91713832954294	0.473741998679244	4.04679833092226	5.19229378099536e-05	0.00155229694216713	upreg		
ENSG00000003056	109.921027317889	1.72494838971576	0.508841416815026	3.38995280791542	0.000699046564525439	0.0103006846164181	upreg		
ENSG00000003137	2.32020586565081	-1.35950112690971	1.02185739479935	-1.33042157724626	0.18337940920703	0.368186523515869	non-sig		
ENSG00000003147	222.093887165202	-0.105899229794203	0.316443709219366	-0.334654242473157	0.737885922197997	0.84544439787614	non-sig		
ENSG00000003249	17.2541521053104	-0.163187587516999	0.500439483451839	-0.326088553987376	0.744357356737765	0.850165837201413	non-sig		
ENSG00000003393	39.4124328422436	-0.100003198612726	0.477154899446929	-0.209582252489998	0.833993732472834	0.905929648275093	non-sig		
ENSG00000003400	139.144495087746	-0.0578279461482233	0.285037773505899	-0.202878185010193	0.839230245539248	0.909388409951312	non-sig		
ENSG00000003402	1113.56369101839	0.120890928389864	0.310951853183755	0.388776999243108	0.697441116886939	0.818747227309343	non-sig		
ENSG00000003436	28.5185508935634	-1.23791744192074	0.51633046290417	-2.39752935544014	0.0165060583098637	0.0895052995286569	non-sig		
ENSG00000003509	19.8559922983509	1.30376066904903	0.569249386633576	2.29031545691987	0.0220030364291801	0.106729481743571	non-sig		
ENSG00000003756	369.503917350028	-0.240774745416898	0.239912859106308	-1.00359249735008	0.315575072366111	0.512008858316196	non-sig		
ENSG00000003987	3.69279311836021	-1.95864577884975	0.616969874390026	-3.17462142018877	0.00150032105670381	0.0175730732933116	downreg		
ENSG00000003989	9.52319688205977	-0.150856317058642	0.645938672142675	-0.233545882240227	0.81533754552823	0.895259478751808	non-sig		
ENSG00000004059	356.210711696867	0.421733897562389	0.204327422226854	2.06401026825542	0.0390167428257917	0.150916826507656	non-sig		
ENSG00000004139	3.86503209286656	-1.15761114846303	0.610265336743867	-1.89689808475701	0.0578413902884601	0.190385854770905	non-sig		
ENSG00000004142	130.397347984898	0.183612440442069	0.232898567825856	0.788379431252497	0.430474798399347	0.616708791964579	non-sig		
ENSG00000004399	15.754680649686	0.553164073734008	0.744440806321679	0.743059849804876	0.457445446352251	0.639103834121761	non-sig		
ENSG00000004455	224.801074344679	0.696812754286553	0.254974837282398	2.73286870858867	0.0062785354129182	0.047175709333903	upreg		
