diseaseId	name	targetId	score	evidenceCount
EFO_0000249	Alzheimer's disease	ENSG00000089169	0.0140406098983835	7
EFO_0000249	Alzheimer's disease	ENSG00000089250	0.048179840684712	30
EFO_0000249	Alzheimer's disease	ENSG00000148082	0.00743266152199234	3
EFO_0000249	Alzheimer's disease	ENSG00000089199	0.0311064667148141	14
EFO_0000249	Alzheimer's disease	ENSG00000089220	0.0187374773349261	21
EFO_0000249	Alzheimer's disease	ENSG00000089234	0.00356434613270217	1
EFO_0000249	Alzheimer's disease	ENSG00000148154	0.0163458465285766	7
EFO_0000249	Alzheimer's disease	ENSG00000101280	0.00831554673040579	2
EFO_0000249	Alzheimer's disease	ENSG00000101292	0.00739159709369404	1
EFO_0000249	Alzheimer's disease	ENSG00000101294	0.0101926366610631	15
EFO_0000249	Alzheimer's disease	ENSG00000101298	0.00591327767495523	1
EFO_0000249	Alzheimer's disease	ENSG00000101307	0.00570795553346373	3
EFO_0000249	Alzheimer's disease	ENSG00000148090	0.00338238749523215	2
EFO_0000249	Alzheimer's disease	ENSG00000148120	0.120910458440075	4095
EFO_0000249	Alzheimer's disease	ENSG00000148143	0.00840471312545568	1
EFO_0000249	Alzheimer's disease	ENSG00000079462	0.00566319523151732	1
EFO_0000249	Alzheimer's disease	ENSG00000079689	0.0343075720342838	8
EFO_0000249	Alzheimer's disease	ENSG00000148218	0.0192181524436045	1
EFO_0000249	Alzheimer's disease	ENSG00000148180	0.0506914885802314	34
EFO_0000249	Alzheimer's disease	ENSG00000101266	0.0115263743790499	5
EFO_0000249	Alzheimer's disease	ENSG00000147883	0.0181949169807382	8
EFO_0000249	Alzheimer's disease	ENSG00000147889	0.0424900110240126	23
EFO_0000249	Alzheimer's disease	ENSG00000147894	0.0935699247022658	42
EFO_0000249	Alzheimer's disease	ENSG00000147955	0.385940691495657	36
EFO_0000249	Alzheimer's disease	ENSG00000148053	0.0841394430431104	102
EFO_0000249	Alzheimer's disease	ENSG00000101327	0.0223948494789554	9
EFO_0000249	Alzheimer's disease	ENSG00000079337	0.0130749713502762	7
EFO_0000249	Alzheimer's disease	ENSG00000079387	0.00690909006118901	4
EFO_0000249	Alzheimer's disease	ENSG00000101336	0.0369579854684702	1
EFO_0000249	Alzheimer's disease	ENSG00000101343	0.00350938333167266	2
EFO_0000249	Alzheimer's disease	ENSG00000148158	0.00294289312767256	1
EFO_0000249	Alzheimer's disease	ENSG00000148175	0.00399906830097947	1
EFO_0000249	Alzheimer's disease	ENSG00000079785	0.00951827586932637	3
EFO_0000249	Alzheimer's disease	ENSG00000079805	0.0319644879623274	62
EFO_0000249	Alzheimer's disease	ENSG00000079841	0.00944046465336323	4
EFO_0000249	Alzheimer's disease	ENSG00000079931	0.00576990653465009	3
EFO_0000249	Alzheimer's disease	ENSG00000079950	0.00211863689843018	1
EFO_0000249	Alzheimer's disease	ENSG00000079974	0.00517411796558583	1
EFO_0000249	Alzheimer's disease	ENSG00000079332	0.0519259695832006	2
EFO_0000249	Alzheimer's disease	ENSG00000080298	0.0825254436018272	2
EFO_0000249	Alzheimer's disease	ENSG00000101333	0.010943670141497	3
EFO_0000249	Alzheimer's disease	ENSG00000147677	0.00638521571233532	3
EFO_0000249	Alzheimer's disease	ENSG00000147684	0.00531360656917149	3
EFO_0000249	Alzheimer's disease	ENSG00000147804	0.004544219382761	1
EFO_0000249	Alzheimer's disease	ENSG00000147862	0.0017742965264635	1
EFO_0000249	Alzheimer's disease	ENSG00000147872	0.0301207581568032	2
EFO_0000249	Alzheimer's disease	ENSG00000147874	0.00126078887255616	1
EFO_0000249	Alzheimer's disease	ENSG00000089159	0.00184789927342351	2
EFO_0000249	Alzheimer's disease	ENSG00000089163	0.00739159709369404	1
EFO_0000249	Alzheimer's disease	ENSG00000081479	0.0722814976505829	41
EFO_0000249	Alzheimer's disease	ENSG00000081803	0.015317031755266	3
EFO_0000249	Alzheimer's disease	ENSG00000079999	0.0510726752722256	26
EFO_0000249	Alzheimer's disease	ENSG00000081923	0.0513307084091004	3
EFO_0000249	Alzheimer's disease	ENSG00000082014	0.00649067522298896	1
EFO_0000249	Alzheimer's disease	ENSG00000082068	0.00856629434598024	1
EFO_0000249	Alzheimer's disease	ENSG00000082074	0.00480453811090112	2
EFO_0000249	Alzheimer's disease	ENSG00000082175	0.290941474493457	5
EFO_0000249	Alzheimer's disease	ENSG00000082212	0.0033806372972988	1
EFO_0000249	Alzheimer's disease	ENSG00000082213	0.00175113906732222	1
EFO_0000249	Alzheimer's disease	ENSG00000082258	0.0725372760945437	3
EFO_0000249	Alzheimer's disease	ENSG00000082397	0.00340692928236249	2
EFO_0000249	Alzheimer's disease	ENSG00000082458	0.00811022458891429	3
EFO_0000249	Alzheimer's disease	ENSG00000082512	0.00187143984023872	1
EFO_0000249	Alzheimer's disease	ENSG00000082556	0.0214311166491662	15
EFO_0000249	Alzheimer's disease	ENSG00000081913	0.0245079672087268	6
EFO_0000249	Alzheimer's disease	ENSG00000082781	0.00943623089896489	3
EFO_0000249	Alzheimer's disease	ENSG00000082898	0.00478400589675197	3
EFO_0000249	Alzheimer's disease	ENSG00000083067	0.0207050151624406	3
EFO_0000249	Alzheimer's disease	ENSG00000083097	0.00676515450125482	3
EFO_0000249	Alzheimer's disease	ENSG00000083312	0.011742501407374	5
EFO_0000249	Alzheimer's disease	ENSG00000101347	0.00149281209535746	1
EFO_0000249	Alzheimer's disease	ENSG00000101349	0.01176854015237	2
EFO_0000249	Alzheimer's disease	ENSG00000101350	0.00213973179041412	1
EFO_0000249	Alzheimer's disease	ENSG00000101353	0.00739159709369404	1
EFO_0000249	Alzheimer's disease	ENSG00000101361	0.00369579854684702	1
